,trainIndices,testIndices_withinDomain,testIndices_acrossDomain
32,labeled-data/Brownhorseoutofshadow/0231.png,labeled-data/Brownhorseoutofshadow/0220.png,labeled-data/BrownHorseintoshadow/0176.png
33,labeled-data/Brownhorseoutofshadow/0233.png,labeled-data/Brownhorseoutofshadow/0223.png,labeled-data/BrownHorseintoshadow/0177.png
34,labeled-data/Brownhorseoutofshadow/0235.png,labeled-data/Brownhorseoutofshadow/0226.png,labeled-data/BrownHorseintoshadow/0178.png
35,labeled-data/Brownhorseoutofshadow/0236.png,labeled-data/Brownhorseoutofshadow/0227.png,labeled-data/BrownHorseintoshadow/0179.png
36,labeled-data/Brownhorseoutofshadow/0241.png,labeled-data/Brownhorseoutofshadow/0228.png,labeled-data/BrownHorseintoshadow/0180.png
37,labeled-data/Brownhorseoutofshadow/0242.png,labeled-data/Brownhorseoutofshadow/0229.png,labeled-data/BrownHorseintoshadow/0181.png
38,labeled-data/Brownhorseoutofshadow/0246.png,labeled-data/Brownhorseoutofshadow/0230.png,labeled-data/BrownHorseintoshadow/0182.png
39,labeled-data/Brownhorseoutofshadow/0250.png,labeled-data/Brownhorseoutofshadow/0232.png,labeled-data/BrownHorseintoshadow/0183.png
40,labeled-data/Brownhorseoutofshadow/0251.png,labeled-data/Brownhorseoutofshadow/0234.png,labeled-data/BrownHorseintoshadow/0184.png
41,labeled-data/Brownhorseoutofshadow/0252.png,labeled-data/Brownhorseoutofshadow/0237.png,labeled-data/BrownHorseintoshadow/0185.png
42,labeled-data/Brownhorseoutofshadow/0256.png,labeled-data/Brownhorseoutofshadow/0238.png,labeled-data/BrownHorseintoshadow/0186.png
43,labeled-data/Brownhorseoutofshadow/0257.png,labeled-data/Brownhorseoutofshadow/0239.png,labeled-data/BrownHorseintoshadow/0187.png
44,labeled-data/Brownhorseoutofshadow/0258.png,labeled-data/Brownhorseoutofshadow/0240.png,labeled-data/BrownHorseintoshadow/0188.png
45,labeled-data/Brownhorseoutofshadow/0259.png,labeled-data/Brownhorseoutofshadow/0243.png,labeled-data/BrownHorseintoshadow/0189.png
46,labeled-data/Brownhorseoutofshadow/0260.png,labeled-data/Brownhorseoutofshadow/0244.png,labeled-data/BrownHorseintoshadow/0190.png
47,labeled-data/Brownhorseoutofshadow/0262.png,labeled-data/Brownhorseoutofshadow/0245.png,labeled-data/BrownHorseintoshadow/0191.png
48,labeled-data/Brownhorseoutofshadow/0263.png,labeled-data/Brownhorseoutofshadow/0247.png,labeled-data/BrownHorseintoshadow/0192.png
49,labeled-data/Brownhorseoutofshadow/0264.png,labeled-data/Brownhorseoutofshadow/0248.png,labeled-data/BrownHorseintoshadow/0193.png
50,labeled-data/Brownhorseoutofshadow/0267.png,labeled-data/Brownhorseoutofshadow/0249.png,labeled-data/BrownHorseintoshadow/0194.png
51,labeled-data/Brownhorseoutofshadow/0269.png,labeled-data/Brownhorseoutofshadow/0253.png,labeled-data/BrownHorseintoshadow/0195.png
52,labeled-data/Brownhorseoutofshadow/0271.png,labeled-data/Brownhorseoutofshadow/0254.png,labeled-data/BrownHorseintoshadow/0196.png
53,labeled-data/Brownhorseoutofshadow/0273.png,labeled-data/Brownhorseoutofshadow/0255.png,labeled-data/BrownHorseintoshadow/0197.png
54,labeled-data/Brownhorseoutofshadow/0277.png,labeled-data/Brownhorseoutofshadow/0261.png,labeled-data/BrownHorseintoshadow/0198.png
55,labeled-data/Brownhorseoutofshadow/0280.png,labeled-data/Brownhorseoutofshadow/0265.png,labeled-data/BrownHorseintoshadow/0199.png
56,labeled-data/Brownhorseoutofshadow/0284.png,labeled-data/Brownhorseoutofshadow/0266.png,labeled-data/BrownHorseintoshadow/0200.png
57,labeled-data/Brownhorseoutofshadow/0285.png,labeled-data/Brownhorseoutofshadow/0268.png,labeled-data/BrownHorseintoshadow/0201.png
58,labeled-data/Brownhorseoutofshadow/0287.png,labeled-data/Brownhorseoutofshadow/0270.png,labeled-data/BrownHorseintoshadow/0202.png
59,labeled-data/Brownhorseoutofshadow/0288.png,labeled-data/Brownhorseoutofshadow/0272.png,labeled-data/BrownHorseintoshadow/0203.png
60,labeled-data/Brownhorseoutofshadow/0289.png,labeled-data/Brownhorseoutofshadow/0274.png,labeled-data/BrownHorseintoshadow/0204.png
61,labeled-data/Brownhorseoutofshadow/0292.png,labeled-data/Brownhorseoutofshadow/0275.png,labeled-data/BrownHorseintoshadow/0205.png
62,labeled-data/Brownhorseoutofshadow/0293.png,labeled-data/Brownhorseoutofshadow/0276.png,labeled-data/BrownHorseintoshadow/0206.png
63,labeled-data/Brownhorseoutofshadow/0306.png,labeled-data/Brownhorseoutofshadow/0278.png,labeled-data/BrownHorseintoshadow/0207.png
64,labeled-data/Brownhorseoutofshadow/0307.png,labeled-data/Brownhorseoutofshadow/0279.png,labeled-data/BrownHorseintoshadow/0208.png
65,labeled-data/Brownhorseoutofshadow/0309.png,labeled-data/Brownhorseoutofshadow/0281.png,labeled-data/BrownHorseintoshadow/0209.png
66,labeled-data/Brownhorseoutofshadow/0310.png,labeled-data/Brownhorseoutofshadow/0282.png,labeled-data/BrownHorseintoshadow/0210.png
67,labeled-data/Brownhorseoutofshadow/0312.png,labeled-data/Brownhorseoutofshadow/0283.png,labeled-data/BrownHorseintoshadow/0211.png
68,labeled-data/Brownhorseoutofshadow/0313.png,labeled-data/Brownhorseoutofshadow/0286.png,labeled-data/BrownHorseintoshadow/0212.png
69,labeled-data/Brownhorseoutofshadow/0314.png,labeled-data/Brownhorseoutofshadow/0290.png,labeled-data/BrownHorseintoshadow/0213.png
70,labeled-data/Brownhorseoutofshadow/0316.png,labeled-data/Brownhorseoutofshadow/0291.png,labeled-data/BrownHorseintoshadow/0214.png
71,labeled-data/Brownhorseoutofshadow/0317.png,labeled-data/Brownhorseoutofshadow/0294.png,labeled-data/BrownHorseintoshadow/0215.png
72,labeled-data/Brownhorseoutofshadow/0318.png,labeled-data/Brownhorseoutofshadow/0295.png,labeled-data/BrownHorseintoshadow/0216.png
73,labeled-data/Brownhorseoutofshadow/0322.png,labeled-data/Brownhorseoutofshadow/0296.png,labeled-data/BrownHorseintoshadow/0217.png
74,labeled-data/Brownhorseoutofshadow/0323.png,labeled-data/Brownhorseoutofshadow/0297.png,labeled-data/BrownHorseintoshadow/0218.png
75,labeled-data/Brownhorseoutofshadow/0324.png,labeled-data/Brownhorseoutofshadow/0298.png,labeled-data/BrownHorseintoshadow/0219.png
76,labeled-data/Brownhorseoutofshadow/0331.png,labeled-data/Brownhorseoutofshadow/0299.png,labeled-data/BrownHorseintoshadow/0220.png
77,labeled-data/Brownhorseoutofshadow/0332.png,labeled-data/Brownhorseoutofshadow/0300.png,labeled-data/BrownHorseintoshadow/0221.png
78,labeled-data/Brownhorseoutofshadow/0333.png,labeled-data/Brownhorseoutofshadow/0301.png,labeled-data/BrownHorseintoshadow/0222.png
79,labeled-data/Brownhorseoutofshadow/0335.png,labeled-data/Brownhorseoutofshadow/0302.png,labeled-data/BrownHorseintoshadow/0223.png
80,labeled-data/Brownhorseoutofshadow/0338.png,labeled-data/Brownhorseoutofshadow/0303.png,labeled-data/BrownHorseintoshadow/0224.png
81,labeled-data/Brownhorseoutofshadow/0339.png,labeled-data/Brownhorseoutofshadow/0304.png,labeled-data/BrownHorseintoshadow/0225.png
82,labeled-data/Brownhorseoutofshadow/0340.png,labeled-data/Brownhorseoutofshadow/0305.png,labeled-data/BrownHorseintoshadow/0226.png
83,labeled-data/Brownhorseoutofshadow/0342.png,labeled-data/Brownhorseoutofshadow/0308.png,labeled-data/BrownHorseintoshadow/0227.png
84,labeled-data/Brownhorseoutofshadow/0344.png,labeled-data/Brownhorseoutofshadow/0311.png,labeled-data/BrownHorseintoshadow/0228.png
85,labeled-data/Brownhorseoutofshadow/0345.png,labeled-data/Brownhorseoutofshadow/0315.png,labeled-data/BrownHorseintoshadow/0229.png
86,labeled-data/Brownhorseoutofshadow/0346.png,labeled-data/Brownhorseoutofshadow/0319.png,labeled-data/BrownHorseintoshadow/0230.png
87,labeled-data/Brownhorseoutofshadow/0347.png,labeled-data/Brownhorseoutofshadow/0320.png,labeled-data/BrownHorseintoshadow/0231.png
88,labeled-data/Brownhorseoutofshadow/0351.png,labeled-data/Brownhorseoutofshadow/0321.png,labeled-data/BrownHorseintoshadow/0232.png
89,labeled-data/Brownhorseoutofshadow/0352.png,labeled-data/Brownhorseoutofshadow/0325.png,labeled-data/BrownHorseintoshadow/0233.png
90,labeled-data/Brownhorseoutofshadow/0353.png,labeled-data/Brownhorseoutofshadow/0326.png,labeled-data/BrownHorseintoshadow/0234.png
91,labeled-data/Brownhorseoutofshadow/0354.png,labeled-data/Brownhorseoutofshadow/0327.png,labeled-data/BrownHorseintoshadow/0235.png
92,labeled-data/Brownhorseoutofshadow/0359.png,labeled-data/Brownhorseoutofshadow/0328.png,labeled-data/BrownHorseintoshadow/0236.png
93,labeled-data/Brownhorseoutofshadow/0361.png,labeled-data/Brownhorseoutofshadow/0329.png,labeled-data/BrownHorseintoshadow/0237.png
94,labeled-data/Brownhorseoutofshadow/0365.png,labeled-data/Brownhorseoutofshadow/0330.png,labeled-data/BrownHorseintoshadow/0238.png
95,labeled-data/Brownhorseoutofshadow/0367.png,labeled-data/Brownhorseoutofshadow/0334.png,labeled-data/BrownHorseintoshadow/0239.png
96,labeled-data/Brownhorseoutofshadow/0370.png,labeled-data/Brownhorseoutofshadow/0336.png,labeled-data/BrownHorseintoshadow/0240.png
97,labeled-data/Brownhorseoutofshadow/0374.png,labeled-data/Brownhorseoutofshadow/0337.png,labeled-data/BrownHorseintoshadow/0241.png
98,labeled-data/Brownhorseoutofshadow/0375.png,labeled-data/Brownhorseoutofshadow/0341.png,labeled-data/BrownHorseintoshadow/0242.png
99,labeled-data/Brownhorseoutofshadow/0377.png,labeled-data/Brownhorseoutofshadow/0343.png,labeled-data/BrownHorseintoshadow/0243.png
100,labeled-data/Brownhorseoutofshadow/0379.png,labeled-data/Brownhorseoutofshadow/0348.png,labeled-data/BrownHorseintoshadow/0244.png
101,labeled-data/Brownhorseoutofshadow/0381.png,labeled-data/Brownhorseoutofshadow/0349.png,labeled-data/BrownHorseintoshadow/0245.png
102,labeled-data/Brownhorseoutofshadow/0383.png,labeled-data/Brownhorseoutofshadow/0350.png,labeled-data/BrownHorseintoshadow/0246.png
103,labeled-data/Brownhorseoutofshadow/0384.png,labeled-data/Brownhorseoutofshadow/0355.png,labeled-data/BrownHorseintoshadow/0247.png
104,labeled-data/Brownhorseoutofshadow/0387.png,labeled-data/Brownhorseoutofshadow/0356.png,labeled-data/BrownHorseintoshadow/0248.png
105,labeled-data/Brownhorseoutofshadow/0388.png,labeled-data/Brownhorseoutofshadow/0357.png,labeled-data/BrownHorseintoshadow/0249.png
106,labeled-data/Brownhorseoutofshadow/0390.png,labeled-data/Brownhorseoutofshadow/0358.png,labeled-data/BrownHorseintoshadow/0250.png
107,labeled-data/Brownhorseoutofshadow/0391.png,labeled-data/Brownhorseoutofshadow/0360.png,labeled-data/BrownHorseintoshadow/0251.png
108,labeled-data/Brownhorseoutofshadow/0392.png,labeled-data/Brownhorseoutofshadow/0362.png,labeled-data/BrownHorseintoshadow/0252.png
109,labeled-data/Brownhorseoutofshadow/0394.png,labeled-data/Brownhorseoutofshadow/0363.png,labeled-data/BrownHorseintoshadow/0253.png
110,labeled-data/Brownhorseoutofshadow/0395.png,labeled-data/Brownhorseoutofshadow/0364.png,labeled-data/BrownHorseintoshadow/0254.png
111,labeled-data/Brownhorseoutofshadow/0399.png,labeled-data/Brownhorseoutofshadow/0366.png,labeled-data/BrownHorseintoshadow/0255.png
112,labeled-data/Brownhorseoutofshadow/0400.png,labeled-data/Brownhorseoutofshadow/0368.png,labeled-data/BrownHorseintoshadow/0256.png
113,labeled-data/Brownhorseoutofshadow/0401.png,labeled-data/Brownhorseoutofshadow/0369.png,labeled-data/BrownHorseintoshadow/0257.png
114,labeled-data/Brownhorseoutofshadow/0404.png,labeled-data/Brownhorseoutofshadow/0371.png,labeled-data/BrownHorseintoshadow/0258.png
115,labeled-data/Brownhorseoutofshadow/0405.png,labeled-data/Brownhorseoutofshadow/0372.png,labeled-data/BrownHorseintoshadow/0259.png
116,labeled-data/Brownhorseoutofshadow/0406.png,labeled-data/Brownhorseoutofshadow/0373.png,labeled-data/BrownHorseintoshadow/0260.png
117,labeled-data/Brownhorseoutofshadow/0407.png,labeled-data/Brownhorseoutofshadow/0376.png,labeled-data/BrownHorseintoshadow/0261.png
118,labeled-data/Brownhorseoutofshadow/0408.png,labeled-data/Brownhorseoutofshadow/0378.png,labeled-data/BrownHorseintoshadow/0262.png
119,labeled-data/Brownhorseoutofshadow/0409.png,labeled-data/Brownhorseoutofshadow/0380.png,labeled-data/BrownHorseintoshadow/0263.png
120,labeled-data/Brownhorseoutofshadow/0410.png,labeled-data/Brownhorseoutofshadow/0382.png,labeled-data/BrownHorseintoshadow/0264.png
121,labeled-data/Brownhorseoutofshadow/0412.png,labeled-data/Brownhorseoutofshadow/0385.png,labeled-data/BrownHorseintoshadow/0265.png
122,labeled-data/Brownhorseoutofshadow/0414.png,labeled-data/Brownhorseoutofshadow/0386.png,labeled-data/BrownHorseintoshadow/0266.png
123,labeled-data/Brownhorseoutofshadow/0418.png,labeled-data/Brownhorseoutofshadow/0389.png,labeled-data/BrownHorseintoshadow/0267.png
124,labeled-data/Brownhorseoutofshadow/0420.png,labeled-data/Brownhorseoutofshadow/0393.png,labeled-data/BrownHorseintoshadow/0268.png
125,labeled-data/Brownhorseoutofshadow/0421.png,labeled-data/Brownhorseoutofshadow/0396.png,labeled-data/BrownHorseintoshadow/0269.png
126,labeled-data/Brownhorseoutofshadow/0426.png,labeled-data/Brownhorseoutofshadow/0397.png,labeled-data/BrownHorseintoshadow/0270.png
127,labeled-data/Brownhorseoutofshadow/0428.png,labeled-data/Brownhorseoutofshadow/0398.png,labeled-data/BrownHorseintoshadow/0271.png
128,labeled-data/Brownhorseoutofshadow/0434.png,labeled-data/Brownhorseoutofshadow/0402.png,labeled-data/BrownHorseintoshadow/0272.png
129,labeled-data/Brownhorseoutofshadow/0435.png,labeled-data/Brownhorseoutofshadow/0403.png,labeled-data/BrownHorseintoshadow/0273.png
130,labeled-data/Brownhorseoutofshadow/0436.png,labeled-data/Brownhorseoutofshadow/0411.png,labeled-data/BrownHorseintoshadow/0274.png
131,labeled-data/Brownhorseoutofshadow/0437.png,labeled-data/Brownhorseoutofshadow/0413.png,labeled-data/BrownHorseintoshadow/0275.png
132,labeled-data/Brownhorseoutofshadow/0438.png,labeled-data/Brownhorseoutofshadow/0415.png,labeled-data/BrownHorseintoshadow/0276.png
133,labeled-data/Brownhorseoutofshadow/0439.png,labeled-data/Brownhorseoutofshadow/0416.png,labeled-data/BrownHorseintoshadow/0277.png
134,labeled-data/Brownhorseoutofshadow/0440.png,labeled-data/Brownhorseoutofshadow/0417.png,labeled-data/BrownHorseintoshadow/0278.png
135,labeled-data/Brownhorseoutofshadow/0444.png,labeled-data/Brownhorseoutofshadow/0419.png,labeled-data/BrownHorseintoshadow/0279.png
136,labeled-data/Brownhorseoutofshadow/0446.png,labeled-data/Brownhorseoutofshadow/0422.png,labeled-data/BrownHorseintoshadow/0280.png
137,labeled-data/Brownhorseoutofshadow/0447.png,labeled-data/Brownhorseoutofshadow/0423.png,labeled-data/BrownHorseintoshadow/0281.png
138,labeled-data/Brownhorseoutofshadow/0448.png,labeled-data/Brownhorseoutofshadow/0424.png,labeled-data/BrownHorseintoshadow/0282.png
139,labeled-data/Brownhorseoutofshadow/0450.png,labeled-data/Brownhorseoutofshadow/0425.png,labeled-data/BrownHorseintoshadow/0283.png
140,labeled-data/Brownhorseoutofshadow/0452.png,labeled-data/Brownhorseoutofshadow/0427.png,labeled-data/BrownHorseintoshadow/0284.png
141,labeled-data/Brownhorseoutofshadow/0455.png,labeled-data/Brownhorseoutofshadow/0429.png,labeled-data/BrownHorseintoshadow/0285.png
142,labeled-data/Brownhorseoutofshadow/0456.png,labeled-data/Brownhorseoutofshadow/0430.png,labeled-data/BrownHorseintoshadow/0286.png
143,labeled-data/Brownhorseoutofshadow/0458.png,labeled-data/Brownhorseoutofshadow/0431.png,labeled-data/BrownHorseintoshadow/0287.png
144,labeled-data/Brownhorseoutofshadow/0465.png,labeled-data/Brownhorseoutofshadow/0432.png,labeled-data/BrownHorseintoshadow/0288.png
145,labeled-data/Brownhorseoutofshadow/0466.png,labeled-data/Brownhorseoutofshadow/0433.png,labeled-data/BrownHorseintoshadow/0289.png
146,labeled-data/Brownhorseoutofshadow/0468.png,labeled-data/Brownhorseoutofshadow/0441.png,labeled-data/BrownHorseintoshadow/0290.png
147,labeled-data/Brownhorseoutofshadow/0472.png,labeled-data/Brownhorseoutofshadow/0442.png,labeled-data/BrownHorseintoshadow/0291.png
148,labeled-data/Brownhorseoutofshadow/0473.png,labeled-data/Brownhorseoutofshadow/0443.png,labeled-data/BrownHorseintoshadow/0292.png
149,labeled-data/Brownhorseoutofshadow/0474.png,labeled-data/Brownhorseoutofshadow/0445.png,labeled-data/BrownHorseintoshadow/0293.png
150,labeled-data/Brownhorseoutofshadow/0475.png,labeled-data/Brownhorseoutofshadow/0449.png,labeled-data/BrownHorseintoshadow/0294.png
151,labeled-data/Brownhorseoutofshadow/0476.png,labeled-data/Brownhorseoutofshadow/0451.png,labeled-data/BrownHorseintoshadow/0295.png
152,labeled-data/Brownhorseoutofshadow/0479.png,labeled-data/Brownhorseoutofshadow/0453.png,labeled-data/BrownHorseintoshadow/0296.png
153,labeled-data/Brownhorseoutofshadow/0483.png,labeled-data/Brownhorseoutofshadow/0454.png,labeled-data/BrownHorseintoshadow/0297.png
154,labeled-data/Brownhorseoutofshadow/0484.png,labeled-data/Brownhorseoutofshadow/0457.png,labeled-data/BrownHorseintoshadow/0298.png
155,labeled-data/Brownhorseoutofshadow/0485.png,labeled-data/Brownhorseoutofshadow/0459.png,labeled-data/BrownHorseintoshadow/0299.png
156,labeled-data/Brownhorseoutofshadow/0486.png,labeled-data/Brownhorseoutofshadow/0460.png,labeled-data/BrownHorseintoshadow/0300.png
157,labeled-data/Brownhorseoutofshadow/0487.png,labeled-data/Brownhorseoutofshadow/0461.png,labeled-data/BrownHorseintoshadow/0301.png
158,labeled-data/Brownhorseoutofshadow/0490.png,labeled-data/Brownhorseoutofshadow/0462.png,labeled-data/BrownHorseintoshadow/0302.png
159,labeled-data/Brownhorseoutofshadow/0493.png,labeled-data/Brownhorseoutofshadow/0463.png,labeled-data/BrownHorseintoshadow/0303.png
160,labeled-data/Brownhorseoutofshadow/0494.png,labeled-data/Brownhorseoutofshadow/0464.png,labeled-data/BrownHorseintoshadow/0304.png
161,labeled-data/Brownhorseoutofshadow/0496.png,labeled-data/Brownhorseoutofshadow/0467.png,labeled-data/BrownHorseintoshadow/0305.png
162,labeled-data/Brownhorseoutofshadow/0497.png,labeled-data/Brownhorseoutofshadow/0469.png,labeled-data/BrownHorseintoshadow/0306.png
163,labeled-data/Brownhorseoutofshadow/0498.png,labeled-data/Brownhorseoutofshadow/0470.png,labeled-data/BrownHorseintoshadow/0307.png
164,labeled-data/Chestnuthorseongrass/0125.png,labeled-data/Brownhorseoutofshadow/0471.png,labeled-data/BrownHorseintoshadow/0308.png
165,labeled-data/Chestnuthorseongrass/0128.png,labeled-data/Brownhorseoutofshadow/0477.png,labeled-data/BrownHorseintoshadow/0309.png
166,labeled-data/Chestnuthorseongrass/0137.png,labeled-data/Brownhorseoutofshadow/0478.png,labeled-data/BrownHorseintoshadow/0310.png
167,labeled-data/Chestnuthorseongrass/0140.png,labeled-data/Brownhorseoutofshadow/0480.png,labeled-data/BrownHorseintoshadow/0311.png
168,labeled-data/Chestnuthorseongrass/0142.png,labeled-data/Brownhorseoutofshadow/0481.png,labeled-data/BrownHorseintoshadow/0312.png
169,labeled-data/Chestnuthorseongrass/0143.png,labeled-data/Brownhorseoutofshadow/0482.png,labeled-data/BrownHorseintoshadow/0313.png
170,labeled-data/Chestnuthorseongrass/0144.png,labeled-data/Brownhorseoutofshadow/0488.png,labeled-data/BrownHorseintoshadow/0314.png
171,labeled-data/Chestnuthorseongrass/0148.png,labeled-data/Brownhorseoutofshadow/0489.png,labeled-data/BrownHorseintoshadow/0315.png
172,labeled-data/Chestnuthorseongrass/0150.png,labeled-data/Brownhorseoutofshadow/0491.png,labeled-data/BrownHorseintoshadow/0316.png
173,labeled-data/Chestnuthorseongrass/0153.png,labeled-data/Brownhorseoutofshadow/0492.png,labeled-data/BrownHorseintoshadow/0317.png
174,labeled-data/Chestnuthorseongrass/0154.png,labeled-data/Brownhorseoutofshadow/0495.png,labeled-data/BrownHorseintoshadow/0318.png
175,labeled-data/Chestnuthorseongrass/0156.png,labeled-data/Brownhorseoutofshadow/0499.png,labeled-data/BrownHorseintoshadow/0319.png
176,labeled-data/Chestnuthorseongrass/0162.png,labeled-data/Brownhorseoutofshadow/0500.png,labeled-data/BrownHorseintoshadow/0320.png
177,labeled-data/Chestnuthorseongrass/0163.png,labeled-data/Chestnuthorseongrass/0126.png,labeled-data/BrownHorseintoshadow/0321.png
178,labeled-data/Chestnuthorseongrass/0166.png,labeled-data/Chestnuthorseongrass/0127.png,labeled-data/BrownHorseintoshadow/0322.png
179,labeled-data/Chestnuthorseongrass/0167.png,labeled-data/Chestnuthorseongrass/0129.png,labeled-data/BrownHorseintoshadow/0323.png
180,labeled-data/Chestnuthorseongrass/0169.png,labeled-data/Chestnuthorseongrass/0130.png,labeled-data/BrownHorseintoshadow/0324.png
181,labeled-data/Chestnuthorseongrass/0171.png,labeled-data/Chestnuthorseongrass/0131.png,labeled-data/BrownHorseintoshadow/0325.png
182,labeled-data/Chestnuthorseongrass/0173.png,labeled-data/Chestnuthorseongrass/0132.png,labeled-data/BrownHorseintoshadow/0326.png
183,labeled-data/Chestnuthorseongrass/0174.png,labeled-data/Chestnuthorseongrass/0133.png,labeled-data/BrownHorseintoshadow/0327.png
184,labeled-data/Chestnuthorseongrass/0175.png,labeled-data/Chestnuthorseongrass/0134.png,labeled-data/BrownHorseintoshadow/0328.png
185,labeled-data/Chestnuthorseongrass/0176.png,labeled-data/Chestnuthorseongrass/0135.png,labeled-data/BrownHorseintoshadow/0329.png
186,labeled-data/Chestnuthorseongrass/0178.png,labeled-data/Chestnuthorseongrass/0136.png,labeled-data/BrownHorseintoshadow/0330.png
187,labeled-data/Chestnuthorseongrass/0180.png,labeled-data/Chestnuthorseongrass/0138.png,labeled-data/BrownHorseintoshadow/0331.png
188,labeled-data/Chestnuthorseongrass/0181.png,labeled-data/Chestnuthorseongrass/0139.png,labeled-data/BrownHorseintoshadow/0332.png
189,labeled-data/Chestnuthorseongrass/0183.png,labeled-data/Chestnuthorseongrass/0141.png,labeled-data/BrownHorseintoshadow/0333.png
190,labeled-data/Chestnuthorseongrass/0185.png,labeled-data/Chestnuthorseongrass/0145.png,labeled-data/BrownHorseintoshadow/0334.png
